M,K,N,It1
256,1280,16,2597
512,1280,16,2593
768,1280,16,2649
1024,1280,16,2687
1280,1280,16,2701
1536,1280,16,2682
1792,1280,16,2700
2048,1280,16,2666
2304,1280,16,2748
2560,1280,16,2655
2816,1280,16,2676
3072,1280,16,2671
3328,1280,16,3170
3584,1280,16,2706
3840,1280,16,2632
4096,1280,16,2676
