M,K,N,It1
256,1280,32,2259.00
512,1280,32,2419.00
768,1280,32,2266.00
1024,1280,32,2248.00
1280,1280,32,2272.00
1536,1280,32,2345.00
1792,1280,32,2244.00
2048,1280,32,2250.00
2304,1280,32,2265.00
2560,1280,32,2270.00
2816,1280,32,2287.00
3072,1280,32,2313.00
3328,1280,32,2252.00
3584,1280,32,2254.00
3840,1280,32,2183.00
4096,1280,32,2307.00
